FID,BRG NO,STRUCTURE_,BRIDGE_NAM,DESCRIPTIO,DESCRIPT_1,DESCRIPT_2,FACI_TYPE_,OPER_STAT_,FEATUREREL,CURRENT_YN,BRDG_TYPE_,COMMENT_,Long,Lat
1708,8873,8033,<Null>,KHARTOUM RD,BR ON M2,MACQUARIE PARK,5,O,5/11/2015 0:00:00,Y,PGIRD, ,151.126960999999994,-33.777180999599999
1709,265,225,<Null>,ROPES CK AT,BRIDGE ON M4 W/B,COLYTON,5,O,5/11/2015 0:00:00,Y,PPLNK, ,150.811315998999987,-33.791484999600002
1710,3708,1588,25.46K NTH GUNNEDAH,GULLIGAL LAGOON,CULVERT ON SH29,NEAR BOGGABRI,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.130889999999994,-30.793580000100000
1711,4189,6415,<Null>,UNNAMED CREEK,4 CELL CULVERT,25.68KM SW FORBES,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.782970000000006,-33.493260000200003
1712,10239,9413,<Null>,M4,NB BR ON MAMRE RD,ST CLAIR,5,O,5/11/2015 0:00:00,Y,PSUTG, ,150.770949999999999,-33.784170000300001
1713,1146,895,<Null>,UNNAMED CREEK,14 CELL CULVERT,6.62KM SW DUNEDOO,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.332380000000001,-32.033369999700000
1714,9497,8784,<Null>,OV HORSLEY DR,PEDESTRIAN BR,FAIRFIELD,5,O,5/11/2015 0:00:00,Y,SBOXG, ,150.955803000000003,-33.866240999900000
1715,2107,2108,1.41KM N COFF HARB,COFFS CK. TRIBUTARY,CULVERT ON SH10,COFFS HARBOUR,4,O,5/11/2015 0:00:00,Y,CCULV, ,153.124099999999999,-30.286999999999999
1716,4661,6854,<Null>, W OF NEVERTIRE SN9,LEVEL CROSSING 1.2K,7,6,O,5/11/2015 0:00:00,Y,<Null>, ,147.711929999999995,-31.834790000400002
1717,6472,4965,<Null>,REEDY CREEK,BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,CBEAM, ,149.665680000000009,-35.216810000400002
1718,3861,1728,<Null>,BOBBIWA CREEK,3 CELL CULVERT,17.27KM W NARRABRI,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.664223999999990,-30.216266999599998
1719,9333,8534,14.53KM S GUNNEDAH,UNNAMED CREEK,CULVERT ON SH29,NEAR CURLEWIS,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.269810000000007,-31.103780000000000
1720,11664,0, ,UNNAMED CREEK,3 CELL CULVERT,14.76KM W BOGGABRI,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.000810000000001,-30.603170000399999
1721,3458,1357,NORTH OF ARMIDALE,UNNAMED CREEK,CULVERT ON SH09,NEAR O'CONNELL'S RD,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.681219999999996,-30.457239999799999
1722,7434,621,<Null>,WESTERN RLY,SB BR ON SH5,BLAXLAND,5,O,5/11/2015 0:00:00,Y,PGIRD, ,150.611490000000003,-33.751809999700001
1723,11686,0, ,UNNAMED CREEK,CULVERT,21.5KM NW COWRA,4,A,5/11/2015 0:00:00,Y, , ,148.557790000000011,-33.717840000000002
1724,3527,1423,<Null>,UNNAMED CREEK,2 CELL CULVERT,3.76KM N OF C'BRAN,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.300420000000003,-31.251919999700000
1725,2756,7480,<Null>,NR DELUNGRA SN172,RLY LEVEL CROSSING,31.95KM W INVERELL,6,O,5/11/2015 0:00:00,Y,<Null>, ,150.834800999999999,-29.656929000400002
1726,9717,9225,<Null>,CATTLE UNDERPASS,1 CELL BOX CULVERT,14.14KM N TAREE,4,O,5/11/2015 0:00:00,Y,CCULP, ,152.575449999999989,-31.870200000000001
1727,9891,9379,<Null>,ACCESS RD,BR ON M7 SB,EASTERN CREEK,5,O,5/11/2015 0:00:00,Y,PPLNK, ,150.853620000000006,-33.801839999899997
1728,6554,5863,AT ROCKY POINT ROAD,MR217 OVER LOCAL RD,PPLNK BRIDGE,9.87K E OF MORRISET,5,O,5/11/2015 0:00:00,Y,PPLNK, ,151.528474999999986,-33.068187000099996
1729,6831,5068,MACROOM BRIDGE,MULWAREE RIVER,BRIDGE OVER,AT TARAGO,5,O,5/11/2015 0:00:00,Y,PPLNK, ,149.653447999999997,-35.081202999799999
1730,2719,952,18.3KM STH TENTFLD, BLUFF RIVER,BRIDGE ON SH09,NEAR SANDY FLAT,5,O,5/11/2015 0:00:00,Y,SGIRD, ,152.012370000000004,-29.199939999600002
1731,605,487,<Null>,OVER BADGALLY ROAD,BR ON SH2 - S/B,AT CAMPBELLTOWN,5,O,5/11/2015 0:00:00,Y,PVSLB, ,150.808120000000002,-34.053356999800002
1732,10683,9804,<Null>,S/B TARCUTTA CK,BRIDGE,<Null>,5,O,5/11/2015 0:00:00,Y,<Null>, ,147.733489999999989,-35.272960000200001
1733,1057,6151,<Null>,UNNAMED CREEK,4 CELL CULVERT,116.7K N OF LITHGOW,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.642619999999994,-32.641150000200000
1734,6244,4862,<Null>,BOXER'S CREEK,N/B BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,CBEAM, ,149.806770000000000,-34.732460000000003
1735,10855,9978,<Null>,UNNAMED CREEK,CULVERT ON SH10 SB,30.40KM N COFFS HBR,4,O,5/11/2015 0:00:00,Y,CCULP, ,153.181782999999996,-30.072033999700000
1736,10184,9253, NEAR JHONSTONS BR,TOONGABIE CR,TWAY BR ON MR 635,TOONGABIE,5,O,5/11/2015 0:00:00,Y,PSUTG, ,150.966868000000005,-33.781321999600003
1737,194,176,<Null>,OLD CANTERBURY RD,SOUTHERN RAIL BR,LEWISHAM,5,O,5/11/2015 0:00:00,Y,SGIRD, ,151.146003000000007,-33.892755999800002
1738,140,129,<Null>,LANE COVE RIVER,BR ON EPPING RD N/B,LANE COVE NTH,5,O,5/11/2015 0:00:00,Y,CBEAM, ,151.144040999999987,-33.801064000300002
1739,9428,8604,<Null>,UNNAMED CREEK,3 CELL CULVERT,7.2KM W WARREN,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.784009999999995,-31.746209999600001
1740,23,18,<Null>,SOUTHERN RAILWAY,BR ON KING ST,AT NEWTOWN STATION,5,O,5/11/2015 0:00:00,Y,SGIRD, ,151.178753999999998,-33.897745000299999
1741,10125,9466,<Null>,OVER HW2 HUME,BRIDGE,THURGOONA DRIVE,5,O,5/11/2015 0:00:00,Y,PTROG, ,146.973623000000003,-36.039734000199999
1742,9236,8409,<Null>,UNNAMED CREEK,4 CELL CULVERT,55.76KM W WILCANNIA,4,O,5/11/2015 0:00:00,Y,CPIPE, ,142.850230000000010,-31.650340000300002
1743,9388,8562,<Null>,UNNAMED CREEK,3 CELL CULVERT,78.25KM W NYNGAN,4,O,5/11/2015 0:00:00,Y,CCULV, ,146.381480001000000,-31.538110000100001
1744,4777,6965,<Null>,UNNAMED CREEK,6 CELL CULVERT,11.45KM E COLLRNBRI,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.677030000000002,-29.546710000400001
1745,4776,6964,<Null>, N OF NEVERTIRE SN4,LEVEL CROSSING 1.6K,60,6,O,5/11/2015 0:00:00,Y,<Null>, ,147.740919999999988,-31.807469999599999
1746,3376,3474,<Null>,MURRAY RIVER,FERRY-VESSEL NO.90,"AT SPEEWA,VIC.BORD.",7,O,5/11/2015 0:00:00,Y,<Null>, ,143.508660001000010,-35.213270000100003
1747,5505,3563,<Null>,UNNAMED CREEK,CULVERT,2.5 WEST OF WAGGA,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.341900000000010,-35.115230000300002
1748,8483,7501,TARRO INTERCHANGE,NEW ENGLAND HWY HW9,PTROG  BRIDGE,19.4 K W NEWCASTLE,5,O,5/11/2015 0:00:00,Y,PBOXG, ,151.665803000000011,-32.811951999900003
1749,10138,9479,<Null>,OVER BRIDGE STREET,BRIDGE N/B,HUME FREEWAY,5,O,5/11/2015 0:00:00,Y,PSUTG, ,146.924039999999991,-36.090900000300003
1750,260,221,<Null>,BRABHAM DRIVE,E/B F.4 BRIDGE OVER,AT EASTERN CREEK,5,O,5/11/2015 0:00:00,Y,PGIRD, ,150.870091000000002,-33.800904000099997
1751,6907,7317,FRANCIS SKINNER BR,LIMESTONE CREEK,SPILLWAY CHNL BRDGE,95.96K N OF LITHGOW,5,O,5/11/2015 0:00:00,Y,PGIRD, ,149.766506999999990,-32.768325999900000
1752,9587,9030,<Null>,STORMWATER CHANNEL,3/3.05X1.22 CULVERT,TUGGERAH,4,O,5/11/2015 0:00:00,Y,CCULP, ,151.414379999999994,-33.306580000099999
1753,11653,10789,<Null>,UNNAMED CREEK,PIPE CULVERT ON SH10,17.19KM NTH COFFS HARBOUR,4,O,5/11/2015 0:00:00,Y,CPIPE, ,153.174139999999994,-30.170890000200000
1754,4815,6999,<Null>,UNNAMED CREEK,10 CELL CULVERT,77.3KM N WALGETT,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.898410000000013,-29.424469999799999
1755,3566,1456,<Null>,SPRING CREEK,BRIDGE (AB1),14.26KM N NARRABRI,5,O,5/11/2015 0:00:00,Y,PPLNK, ,149.812759999999997,-30.210689999700001
1756,9990,9034,BOMBAY BRIDGE,SHOALHAVEN RIVER,BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,PMISC, ,149.715849999000000,-35.428210000000000
1757,5556,3608,<Null>,UNNAMED CREEK,CULVERT,34KM N ARDLETHAN,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.109399999999994,-34.206350000400001
1758,3382,1289,<Null>,UNNAMED CK,4/1.5/0.9 CCULV,20.32K N OF M/BROOK,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.869000000000000,-32.094000000100003
1759,9091,8245,<Null>,YELGUN CREEK,BRIDGE ON SH10 S/B,51.1KM NTH. BALLINA,5,O,5/11/2015 0:00:00,Y,PSUTG, ,153.513790000000000,-28.485140000400001
1760,9216,8394,<Null>,UNNAMED CREEK,5 CELL CULVERT,59.0KM E BREWARRINA,4,O,5/11/2015 0:00:00,Y,CPIPE, ,147.384369999999990,-30.098949999900000
1761,9256,8440,<Null>,UNNAMED CREEK,PIPE CULVERT SR83,NTH. MILL CREEK,4,O,5/11/2015 0:00:00,Y,CPIPE, ,152.981660000000005,-29.502630000100002
1762,234,209,<Null>,OVER CUMBERLAND ST.,BR ON OFFLOAD RAMP,(FM BR'FIELD H'WAY),5,O,5/11/2015 0:00:00,Y,PBOXG, ,151.206490000000002,-33.860770000400002
1763,10424,9636,<Null>,PRIV UNDERPASS,1/3.6 X 3.6 CULVERT,25.5KM NORTH TAREE,4,O,5/11/2015 0:00:00,Y,CCULP, ,152.690949999999987,-31.742589999800000
1764,10894,10017,<Null>,MAIN NORTHERN RAIL,SB SBOXG BRIDGE,37.4KM NTH OF F3,5,O,5/11/2015 0:00:00,Y,SBOXG, ,151.341540000000009,-32.661379999600001
1765,5592,3643,<Null>,TRIGALONG CK NO 1,LINK SLAB CULVERT,4.4 KM N OF TEMORA,4,O,5/11/2015 0:00:00,Y,CCULP, ,147.512660000000011,-34.411190000399998
1766,10039,9113,BULGA CREEK,BULGA CREEK,S/B TWIN BRIDGE,61.40KM N NEWCASTLE,5,O,5/11/2015 0:00:00,Y,PSUTG, ,152.039577000000008,-32.636003999899998
1767,8486,2007,RUVIGNE BRIDGE,CARROLL CREEK,BRIDGE ON SH11,(MOOKI DEVIATION),5,O,5/11/2015 0:00:00,Y,PPLNK, ,150.289430000000010,-30.983350000300000
1768,3204,3350,<Null>,CABBAGE GARDEN CK,CULVERT,65.2 N OF HAY,4,O,5/11/2015 0:00:00,Y,CCULV, ,144.860700000000008,-33.974299999999999
1769,10075,9148,49.01KM N BALLINA,MARSHALL'S OVERFLOW,TWIN BRIDGES SH10,BILLINUDGEL,5,O,5/11/2015 0:00:00,Y,PSUTG, ,153.527715999999998,-28.499224000200002
1770,4738,6929,<Null>,UNNAMED CREEK,4 CELL CULVERT,47.93KM W NYNGAN,4,O,5/11/2015 0:00:00,Y,CCULV, ,146.701429999999988,-31.549009999700001
1771,6046,4697,<Null>,WILD MARES CREEK,CULVERT OVER,<Null>,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.805919999999986,-36.010710000099998
1772,230,206,FORT ST SCHOOL,CAHILL EXPRESSWAY,PEDESTRIAN BRIDGE,UPPER FORT ST,5,O,5/11/2015 0:00:00,Y,CBEAM, ,151.204843000000011,-33.861154000100001
1773,4402,6615,<Null>,SPICERS CREEK,BRIDGE,41.03KM NE DUBBO,5,O,5/11/2015 0:00:00,Y,SBEAM, ,148.972602999000003,-32.170328999600002
1774,10936,10060,<Null>,UNNAMED CREEK,STEEL&CONCRETE PIPE,<Null>,4,O,5/11/2015 0:00:00,Y,CPIPE, ,148.177519999999987,-36.406999999800000
1775,11574,10710,<Null>,FAUNA UPASS,1200MM CPIPE CULVERT,DX - 09501,4,O,5/11/2015 0:00:00,Y,CPIPE, ,151.998019999999997,-32.632390000299999
1776,9515,8684,OFF TWEED VAL. WAY,UNDER SH10,PROPERTY ACCESS,53.2KM NTH. BALLINA,9,O,5/11/2015 0:00:00,Y,CCULP, ,153.506621999999993,-28.468312000400001
1777,8435,7414,<Null>,UNNAMED CREEK,CULVERT,55.83 N OF TEMORA,4,O,5/11/2015 0:00:00,Y,CCULP, ,147.292830000000009,-33.989919999900003
1778,5084,7200,<Null>,UNNAMED CREEK,4 CELL CULVERT,100KM W WILCANNIA,4,O,5/11/2015 0:00:00,Y,CCULV, ,142.421189999999996,-31.743229999600000
1779,83,72,<Null>,OV COOKS RIVER,BR ON MARSH ST,MASCOT,5,O,5/11/2015 0:00:00,Y,PBOXG, ,151.162119999999987,-33.933730000200001
1780,8171,5234,<Null>,UNDER SH2,STOCK UNDERPASS,22.47 KM S GOULBURN,4,O,5/11/2015 0:00:00,Y,CCULP, ,149.501659999999987,-34.802880000300000
1781,9201,8605,<Null>,MARSHALL PONDS CK,BRIDGE,17.0KM N MOREE,5,O,5/11/2015 0:00:00,Y,PPLNK, ,149.809853000000004,-29.320544999700001
1782,3523,1419,<Null>,UNNAMED CREEK,4 CELL CULVERT,12.1KM W MULLALEY,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.785230000000013,-31.114880000399999
1783,9429,8608,<Null>,UNNAMED CREEK,3 CELL CULVERT,14.8KM W CUDAL,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.614609999999999,-33.359969999699999
1784,8819,8048,<Null>,UNNAMED CREEK,12 CELL CULVERT,2.81KM W BURREN JUN,4,O,5/11/2015 0:00:00,Y,SPIPE, ,148.957891999999987,-30.078198000000000
1785,7602,649,<Null>,DEVN OV BURNT BR CK,CULV ON BURNT BR CK,AT PITT ST BALGOWLH,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.263174999999990,-33.788707000199999
1786,6875,1878,<Null>,GOONAL CREEK,BRIDGE (AB1),68.87KM W MOREE,5,O,5/11/2015 0:00:00,Y,PPLNK, ,149.231050000000010,-29.470989999600000
1787,1731,5685,<Null>,OLD DARKEY CREEK,2/3.00/3.00  CCULV,130.8K N OF WINDSOR,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.918266999999986,-32.776678999799998
1788,3637,1524,COLLAROY BRIDGE, KRUI RIVER,CBEAM BRIDGE (AB1),25.08K W OF MERRIWA,5,O,5/11/2015 0:00:00,Y,CBEAM, ,150.118327999999991,-32.096273999799998
1789,5127,7231,<Null>,UNNAMED CREEK,6 CELL CULVERT,19.94KM SE WLCANNIA,4,O,5/11/2015 0:00:00,Y,CCULV, ,143.464859999999987,-31.721759999600000
1790,1807,5734,TWO MILE CREEK,TWO MILE CREEK,S/B PPLNK  BRIDGE,27.02 K N OF TAREE,5,O,5/11/2015 0:00:00,Y,PPLNK, ,152.634222999999992,-31.812334000400000
1791,11451,10474,<Null>,CRK AT RAIL OVERPASS,3 CELL CULV ON MR683,BLACKTOWN,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.907970000000006,-33.764859999899997
1792,5588,3639,<Null>,9.6K E OF SAVERNAKE,LEVEL CROSSING,SN589,6,O,5/11/2015 0:00:00,Y,<Null>, ,146.141629999999992,-35.778930000199999
1793,7395,7347,<Null>,RAILWAY,BRIDGE,64.4KM W ORANGE,5,O,5/11/2015 0:00:00,Y,PGIRD, ,148.494570000000010,-33.189180000000000
1794,104,93,<Null>,OV STHRN X DRIVE,BR ON GARDENERS RD,AT EASTLAKES,5,O,5/11/2015 0:00:00,Y,PGIRD, ,151.214308001000006,-33.924467000000000
1795,2104,2105,3.95KM S COFF HARB,UNNAMED CREEK,WID.CULVERT ON SH10,AT BOAMBEE,4,O,5/11/2015 0:00:00,Y,CCULV, ,153.088099999999997,-30.319599999600001
1796,7702,7370,<Null>,MARTHAGUY CREEK,BRIDGE NO.3,54.08KM N OF DUBBO,5,O,5/11/2015 0:00:00,Y,PPLNK, ,148.637679999999989,-31.814899999700000
1797,9630,8901,<Null>,BIDDON CREEK,BRIDGE,21.03KM N GILGANDRA,5,O,5/11/2015 0:00:00,Y,PSUTG, ,148.786740000000009,-31.568190000300000
1798,1019,6117,<Null>,BUCKS CREEK,3 CELL CULVERT,44.1 KM S BATHURST,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.382829998999995,-33.727779999699997
1799,9245,8418,<Null>,UNNAMED CREEK,3 CELL CULVERT,40.8KM W BROKN HILL,4,O,5/11/2015 0:00:00,Y,CCULV, ,141.085970000000003,-32.057919999699998
1800,7372,5925,DEEP CREEK 3,DEEP CREEK - NO3,PTROG  BRIDGE N/B,87.2KM N OF SYDNEY,5,O,5/11/2015 0:00:00,Y,PTROG, ,151.406129999999990,-33.286009999800001
1801,4848,7025,<Null>,UNNAMED CREEK,6 CELL CULVERT,95.6KM W BREWARRINA,4,O,5/11/2015 0:00:00,Y,CCULV, ,145.959810000000004,-30.092739999599999
1802,9718,9016,<Null>,KILABEN CREEK,PIPE CULVERT,TORONTO,4,O,5/11/2015 0:00:00,Y,CPIPE, ,151.561350000000004,-33.030980000400000
1803,10218,9287,<Null>,UNNAMED CREEK,CULVERT OVER,AT DUNMORE,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.841432999999995,-34.598997000300002
1804,7752,7373,<Null>,RAILWAY,BRIDGE,43.42KM N SH5,5,O,5/11/2015 0:00:00,Y,PGIRD, ,149.983249999999998,-33.146059999999999
1805,4773,6961,<Null>,UNNAMED CREEK,2 CELL CULVERT,3.2KM SW WARREN,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.813430000000011,-31.722370000200002
1806,11458,10481,<Null>,COWPASTURE ROAD,RAIL BRIDGE,LEPPINGTON,5,C,5/11/2015 0:00:00,Y,<Null>, ,150.822202000000004,-33.954118999800002
1807,3449,1349,10.3KM STH URALLA,OV CHILCOTTS CK,CULVERT,NR URALLA,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.453820000000007,-30.719900000399999
1808,1259,6257,<Null>,RAILWAY,BRIDGE,13.35KM E LITHGOW,5,O,5/11/2015 0:00:00,Y,CBEAM, ,150.240260000000006,-33.473037999699997
1809,5125,7229,<Null>,WAVERLEY CREEK,5 CELL CULVERT,24.03KM SE IVANHOE,4,O,5/11/2015 0:00:00,Y,CCULV, ,144.479890000000012,-33.045519999699998
1810,9491,8663,<Null>,UNNAMED CREEK,CULVERT,27.8 KM N YOUNG,4,O,5/11/2015 0:00:00,Y,CCULP, ,148.475599999999986,-34.159169999699998
1811,7331,4169,<Null>,MURRAY RIVER,BRIDGE,AT HEYWOODS,5,O,5/11/2015 0:00:00,Y,PPLNK, ,147.022850000000005,-36.099299000099997
1812,329,283,<Null>,SOUTH CK E/B,BR ON SH 5,ST MARYS,5,O,5/11/2015 0:00:00,Y,CBEAM, ,150.762293999999997,-33.769247000299998
1813,9932,9432,<Null>,M7 SHARED PATH,BR ON S'HLT OFF RMP,KINGS PARK,5,O,5/11/2015 0:00:00,Y,PPLNK, ,150.916380000000004,-33.738559999899998
1814,5950,4608,BATEMANS BAY BRIDGE,OVER CLYDE RIVER,LIFT SPAN BRIDGE,AT BATEMANS BAY,5,O,5/11/2015 0:00:00,Y,STRUS, ,150.179990000000004,-35.701860000000003
1815,9589,8882,<Null>,COAL CONVEYOR,1/3.35/2.10 CCULP,10.771K N MORISSET,4,O,5/11/2015 0:00:00,Y,CCULP, ,151.562639999999988,-33.060700000200001
1816,1133,884,<Null>,UNNAMED CREEK,3 CELL CULVERT,9.06KM NW DUNEDOO,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.331160000000011,-31.962989999900000
1817,7828,6019,SWANSEA BRIDGE,LAKE MACQUARIE ENTR,SBASC BRIDGE S/B,37.8 K S OF HEXHAM,5,O,5/11/2015 0:00:00,Y,PPLNK, ,151.640188999999992,-33.085565999700002
1818,7433,1949,<Null>,ROCKY PONDS CREEK,BRIDGE ON SH12, 0.65KM W GLEN INN,5,O,5/11/2015 0:00:00,Y,CSLAB, ,151.733800000000002,-29.734980000299998
1819,10000,9050,N/B NTH ENTRY RAMP,WARRINGAH FWY,SB FALC ST ENT RAMP,NORTH SYDNEY,5,O,5/11/2015 0:00:00,Y,PPLNK, ,151.213382999000004,-33.829718999800001
1820,8871,8031,<Null>,UNNAMED CK,CULV ON M2,MACQUARIE PARK,4,O,5/11/2015 0:00:00,Y,<Null>, ,151.120393000000007,-33.773064000200002
1821,11397,10419,<Null>,KAMILAROI HIGHWAY,BRIDGE,39.9K W OF GUNNEDAH,5,O,5/11/2015 0:00:00,Y,<Null>, ,150.034320000000008,-30.633689999800001
1822,427,360,<Null>,RICKABYS CK,BR ON RICHMOND RD,WINDSOR,5,O,5/11/2015 0:00:00,Y,PPLNK, ,150.803149999999988,-33.609190000399998
1823,9098,8252,OVER SH10,OVER PACIFIC H'WAY,BRIDGE ON HULLS RD.,55.3KM NTH. BALLINA,5,O,5/11/2015 0:00:00,Y,PSUTG, ,153.502350000000007,-28.450459999700001
1824,677,4402,GHOSTS CREEK BRIDGE,OVER F.6,BR ON SH1,AT GHOSTS CREEK,5,O,5/11/2015 0:00:00,Y,PGIRD, ,150.867390000999990,-34.428989999599999
1825,10890,10013,<Null>,MAIN NORTHERN RAIL,PSTUG BRIDGE,35.3KM NTH OF F3,5,O,5/11/2015 0:00:00,Y,PSUTG, ,151.362562999999994,-32.667443999600003
1826,3486,1384,<Null>,CHIMNEY SWAMP CREEK,BRIDGE ON SH11,24.04KM WEST WALCHA,5,O,5/11/2015 0:00:00,Y,CSLAB, ,151.362040000000007,-30.960119999600000
1827,11466,10491,CULVERT 8,CULVERT,FAUNA UNDERPASS,67.25KM NORTH OF GRAFTON,4,O,5/11/2015 0:00:00,Y,CCULP, ,153.224694999999997,-29.267804999599999
1828,5527,3585,<Null>,UNNAMED CREEK,CULVERT,11.3KM S OF SH14,4,O,5/11/2015 0:00:00,Y,CCULV, ,146.451349999999991,-34.836610000100002
1829,8039,728,<Null>,OVER WILLOUGHBY RD,FOOTBRIDGE,AT NAREMBURN,5,O,5/11/2015 0:00:00,Y,SBOXG, ,151.201549000000000,-33.816928999900000
1830,8773,7965,<Null>,UNNAMED CREEK,213 CELL CULVERT,56.7KM N MOREE,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.059040000000010,-29.025229999600000
1831,10159,9228,<Null>,UNNAMED CREEK,3/2.4X1.05 CULVERT,KILLARNEY VALE,4,O,5/11/2015 0:00:00,Y,CCULP, ,151.473469999999992,-33.368650000300001
1832,10208,9277,INFRA 6A,UNNAMED CREEK,BRIDGE OVER,9.4KM NTH WGONG,5,O,5/11/2015 0:00:00,Y,PSUTG, ,150.912411999999989,-34.343986999599998
1833,437,369,RYDE BRIDGE - N/B,OV PARRAMATTA R,S.TR BR: CONCORD RD,AT UHR'S POINT,5,O,5/11/2015 0:00:00,Y,STRUS, ,151.093690000000009,-33.824330000300002
1834,10283,9494,SPLIT YARD CREEK,SPLIT YARD CREEK,N//B BRIDGE,80.7KM N OF NCLE,5,O,5/11/2015 0:00:00,Y,PPLNK, ,152.189672999999999,-32.528224000000002
1835,6194,4826,<Null>,IRON POT CREEK,BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,SBEAM, ,148.751239999999996,-36.357720000100002
1836,111,100,<Null>,STH SEWER - NO 1,GH DR OFFLOAD RAMP,BOTANY,5,O,5/11/2015 0:00:00,Y,PPLNK, ,151.189159999999987,-33.944699999599997
1837,7620,2621,32KM NTH COFF HARB,UNNAMED CREEK,CULVERT ON SH10,SHERWOOD ROAD,4,O,5/11/2015 0:00:00,Y,CCULP, ,153.186100000000010,-30.048400000200001
1838,11002,10126,<Null>,RICKABYS CRK,CULV ON MR 630,LONDONDERRY,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.733440000000002,-33.660279999600000
1839,9117,8271,<Null>,CHRISTIES CREEK,BRIDGE ON SH10 N/B,66.4KM NTH. BALLINA,5,O,5/11/2015 0:00:00,Y,PSUTG, ,153.522259999999989,-28.359139999600000
1840,3670,1553,<Null>,OAKY CREEK,"ARCH CULVERT, SR63",25.83KM NTH BARRABA,5,O,5/11/2015 0:00:00,Y,CARCH, ,150.588550000999987,-30.160929999600000
1841,9393,8567,<Null>,UNNAMED CREEK,5 CELL CULVERT,123.97KM W COBAR,4,O,5/11/2015 0:00:00,Y,CCULV, ,144.582870000000014,-31.528939999799999
1842,5990,4644,<Null>,BEGA RIVER,BRIDGE OVER,AT BEGA,5,O,5/11/2015 0:00:00,Y,PBOXG, ,149.828030001000002,-36.667989999600003
1843,10317,9528,<Null>,BONVILLE CREEK,BRIDGE ON H10 S/B,99.7KM NTH. KEMPSEY,5,O,5/11/2015 0:00:00,Y,PSUTG, ,153.052760000000006,-30.373280000200001
1844,4372,6586,<Null>,DEEP CREEK,6 CELL CULVERT,7.7KM E GILGANDRA,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.733920000000012,-31.736500000400000
1845,9018,8183,<Null>,BOGOLONG CK STH BND,BRIDGE,30 KM SOUTH OF YASS,5,O,5/11/2015 0:00:00,Y,PPLNK, ,148.654750000000007,-34.820309999999999
1846,1461,5458,GOSTWYCK BRIDGE,PATERSON RIVER,STRUS  BRIDGE,23.75 K N MAITLAND,5,O,5/11/2015 0:00:00,Y,STRUS, ,151.604649999999992,-32.564959999800003
1847,11618,10754,<Null>,HUNTER RIVER - SOUTH ARM,NB SUTG BRIDGE,TOURLE STREET,5,A,5/11/2015 0:00:00,Y,<Null>, ,151.733254001000006,-32.879845999600001
1848,9710,9068,<Null>,FAUNA UNDERPASS,1/3.11X2.97 CCULP CULVERT,48.93KM N NEWCASTLE,4,O,5/11/2015 0:00:00,Y,CCULP, ,151.918499999999995,-32.647079999600003
1849,8511,2011,84KM NTH ARMIDALE,OV WILLIAMS CK.,CULVERT ON SH09,NEAR GLENCOE,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.734299999999990,-29.894180000300000
1850,9952,8982,FRANCIS LONGWORTH,LANSDOWNE RIVER,PSUTG BRIDGE N/B,21.0KM NORTH TAREE,5,O,5/11/2015 0:00:00,Y,PSUTG, ,152.611028000000005,-31.841089999899999
1851,9553,8722,<Null>,UNNAMED CREEK,CULVERT ON SR83,STH. ELENGOWAN RD.,4,O,5/11/2015 0:00:00,Y,CCULV, ,153.043700000000001,-28.892620000000001
1852,8604,7753,<Null>,MYRTLE GULLY,BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,PGIRD, ,150.430700000000002,-35.238669999700001
1853,9255,8439,<Null>,UNNAMED CREEK,PIPE CULVERT SR83,NTH. WARRAGAI CREEK,4,O,5/11/2015 0:00:00,Y,CPIPE, ,152.983380000000011,-29.549420000300000
